Participant,Stimulus,Trial,Time,Gaze_x,Gaze_y,Type,Target_TopLeft_x,Target_TopLeft_y,Target_BottomRight_x,Target_BottomRight_y
S002,Opposite-sex_couple_002_h,1.0,0.011,194.0,250.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_002_h,1.0,0.102,212.0,278.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_002_h,1.0,0.174,278.0,344.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_002_h,1.0,0.242,390.0,402.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_002_h,1.0,0.313,455.0,462.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_002_h,1.0,0.384,454.0,505.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_002_h,1.0,0.446,448.0,538.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_002_h,1.0,-0.063,456.0,570.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,0.011,493.0,599.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,0.311,498.0,615.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,0.375,543.0,631.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,0.447,602.0,647.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,0.517,587.0,643.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,0.586,566.0,637.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,0.649,540.0,641.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,0.717,538.0,638.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,0.784,519.0,657.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,0.917,493.0,630.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.014,491.0,630.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.095,536.0,637.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.165,541.0,650.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.24,569.0,616.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.317,570.0,618.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.398,569.0,602.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.471,570.0,609.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.557,515.0,571.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.636,523.0,559.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.716,467.0,542.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.79,365.0,551.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.867,376.0,572.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_002_h,1.0,1.943,459.0,576.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.012,438.0,554.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_007_h,2.0,0.086,439.0,497.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_007_h,2.0,0.177,461.0,469.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_007_h,2.0,0.243,479.0,454.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_007_h,2.0,0.306,493.0,442.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_007_h,2.0,0.375,491.0,409.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_007_h,2.0,0.452,491.0,379.0,Fixation Cross,546.4000244140625,334.0,546.4000244140625,334.0
S002,Opposite-sex_couple_007_h,2.0,-0.061,531.0,389.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.01,596.0,415.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.211,616.0,407.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.278,544.0,407.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.343,574.0,503.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.418,527.0,522.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.493,522.0,500.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.57,576.0,499.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.64,638.0,523.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.719,708.0,550.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.795,700.0,551.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,0.903,763.0,513.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,1.03,826.0,517.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,1.106,826.0,541.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,1.182,843.0,538.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,1.255,834.0,535.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,1.33,862.0,520.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,1.406,940.0,519.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,1.48,951.0,523.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
S002,Opposite-sex_couple_007_h,2.0,1.561,938.0,544.0,Image,177.90000915527344,53.60000228881836,914.9000091552734,606.6000022888184
